prédikunarstólinn,    ˈpʰrɛːtɪkʏnarstouːlɪn
úlfurinn,              ˈulvʏrɪn
úlföldum,              ˈulvœltʏm
úlli,                 ˈulɪ
úlnlið,                ˈulɪð
úlnliðinn,             ˈulɪðɪn
úlnliðnum,             ˈulɪðnʏm
úlnliðum,              ˈulɪðʏm
úlpan,                ˈul̥pan
úlpukaupanna,          ˈul̥pʏkʰœipana
úlpum,                ˈul̥pʏm
úlpuna,                ˈul̥pʏna
úlpunni,               ˈul̥pʏnɪ
úlpur,                ˈul̥pʏr
úlrik,                ˈulrɪk
úmbría,                ˈumprija
únsu,                 ˈunsʏ
úps,                  ˈups
úr,                   ˈuːr
úranusi,               ˈuːranʏsɪ
úrbætur,               ˈurpaitʏr
úrbóta,                ˈurpouta
úrbótum,               ˈurpoutʏm
úreldingar,            ˈuːrɛltiŋkar
úrelt,                ˈuːrɛl̥t
úreltar,               ˈuːrɛl̥tar
úrgang,                ˈurkauŋk
úrgangi,               ˈurkauɲcɪ
úrgangs,               ˈurkauŋs
úrgangsefni,           ˈurkauŋksɛpnɪ
úrgangur,             ˈurkauŋkʏr
úrhellisrigning,       ˈuːrhɛtlɪsrɪkniŋk
úrhellið,              ˈuːrhɛtlɪð
úrillur,              ˈuːrɪtlʏr
úrinu,                ˈuːrɪnʏ
úrið,                 ˈuːrɪð
úrklippum,             ˈur̥kʰlɪhpʏm
úrklippuna,            ˈur̥kʰlɪhpʏna
úrkoma,               ˈurkʰɔma
úrkoman,               ˈur̥kʰɔman
úrkomu,                ˈur̥kʰɔmʏ
úrkomulítið,           ˈur̥kʰɔmʏliːtɪð
úrkomuna,              ˈur̥kʰɔmʏna
úrkosta,              ˈur̥kʰɔsta
úrkula,               ˈur̥kʏla
úrlausn,              ˈurlœistn̥
úrlausnar,             ˈurlœistnar
úrlausnarefni,        ˈurlœistnarɛpnɪ
úrlausnir,             ˈurlœistnɪr
úrræða,                ˈuraiða
úrræðagóður,           ˈuraiðakouːðʏr
úrræðaleysi,           ˈuraiðaleiːsɪ
úrræði,               ˈuraiðɪ
úrræðis,               ˈuraiðɪs
úrræðum,               ˈuraiðʏm
úrskeiðis,            ˈur̥scɛðɪs
úrskurð,               ˈur̥skʏrð
úrskurða,             ˈur̥skʏrða
úrskurðar,             ˈur̥skʏrðar
úrskurðarnefndar,      ˈur̥skʏrðarnɛmtar
úrskurðarnefndin,      ˈur̥skʏrðarnɛmtɪn
úrskurðað,             ˈur̥skʏrðað
úrskurðaði,            ˈur̥skʏrðaðɪ
úrskurðaðir,           ˈur̥skʏrðaðɪr
úrskurðaður,           ˈur̥skʏrðaðʏr
úrskurði,              ˈur̥skʏrðɪ
úrskurðinn,            ˈur̥skʏrðɪn
úrskurðinum,           ˈur̥skʏrðɪnʏm
úrskurður,            ˈur̥skʏrðʏr
úrskurðurinn,          ˈur̥skʏrðʏrɪn
úrskurðuð,             ˈur̥skʏrðʏð
úrslit,               ˈur̥stlɪt
úrslita,               ˈur̥stlɪta
úrslitabardaga,        ˈur̥stlɪtapartaɣa
úrslitakeppni,        ˈur̥stlɪtacʰɛhpnɪ
úrslitakeppnina,       ˈur̥stlɪtacʰɛhpnɪna
úrslitakeppninni,      ˈur̥stlɪtacʰɛhpnɪnɪ
úrslitaleik,           ˈur̥stlɪtaleiːk
úrslitaleikinn,        ˈur̥stlɪtaleiːcɪn
úrslitaleiknum,        ˈur̥stlɪtaleihknʏm
úrslitaleikur,        ˈur̥stlɪtaleiːkʏr
úrslitaleikurinn,      ˈur̥stlɪtaleiːkʏrɪn
úrslitarimman,         ˈur̥stlɪtarɪman
úrslitaáhrif,          ˈur̥stlɪtaauːr̥ɪv
úrslitaþjónustan,      ˈur̥stlɪtaθjouːnʏstan
úrslitin,              ˈur̥stlɪtɪn
úrslitum,              ˈur̥stlɪtʏm
úrslitunum,            ˈur̥stlɪtɔnʏm
úrtaka,               ˈur̥tʰaka
úrtaki,                ˈur̥tʰacɪ
úrtakshópnum,          ˈur̥tʰakshouhpnʏm
úrtökumótsins,         ˈur̥tʰœkʏmouːtsɪns
úrus,                 ˈurʏːs
úrval,                ˈurval
úrvali,                ˈurvalɪ
úrvalið,               ˈurvalɪð
úrvals,                ˈurvals
úrvalsdeild,           ˈurvalsteilt
úrvalsdeildar,         ˈurvalsteiltar
úrvalsdeildarinnar,    ˈurvalsteiltarɪnar
úrvalsdeildarliðinu,   ˈurvalsteiltarlɪðɪnʏ
úrvalsdeildarliðið,    ˈurvalsteiltarlɪð
úrvalsdeildarliðsins,  ˈurvalsteiltarlɪðsɪns
úrvalsdeildin,         ˈurvalsteiltɪn
úrvalsdeildina,        ˈurvalsteiltɪna
úrvalsdeildinni,       ˈurvalsteiltɪnɪ
úrvalshrúta,           ˈurvalsr̥uːta
úrvinnsla,            ˈurvɪnstla
úrvinnslu,             ˈurvɪnstlʏ
úrvinnslugjald,        ˈurvɪnstlʏcalt
úrúgvæ,                ˈuːrukvai
úsbekistan,           ˈuːspɛcɪstan
út,                   ˈuːt
útaf,                 ˈuːtav
útafaksturinn,         ˈuːtavakstʏrɪn
útatað,                ˈuːtatað
útataður,              ˈuːtataðʏr
útað,                 ˈuːtað
útbjuggum,             ˈuːtpjʏkʏm
útbjó,                ˈuːtpjou
útblástur,            ˈuːtplaustʏr
útblásturs,            ˈuːtplaustʏr̥s
útblástursefni,        ˈuːtplaustʏr̥sɛpnɪ
útblásturslofts,       ˈuːtplaustʏr̥stlɔfts
útblæstri,             ˈuːtplaistrɪ
útblæstrinum,          ˈuːtplaistrɪnʏm
útborg,               ˈuːtpɔrk
útborgað,              ˈuːtpɔrkað
útborgaðar,            ˈuːtpɔrkaðar
útborgun,             ˈuːtpɔrkʏn
útborgunar,            ˈuːtpɔrkʏnar
útboð,                ˈuːtpɔð
útboði,                ˈuːtpɔðɪ
útboðinu,              ˈuːtpɔðɪnʏ
útboðið,               ˈuːtpɔðɪð
útboðs,                ˈuːtpɔðs
útboðsgengi,           ˈuːtpɔðsceiɲcɪ
útboðsgögnin,          ˈuːtpɔðskœknɪn
útboðsins,             ˈuːtpɔðsɪns
útboðslýsingu,         ˈuːtpɔðstliːsiŋkʏ
útboðum,               ˈuːtpɔðʏm
útbreidd,              ˈuːtpreit
útbreidda,             ˈuːtpreita
útbreiddan,            ˈuːtpreitan
útbreiddu,             ˈuːtpreitʏ
útbreiddur,            ˈutpreitʏr
útbreitt,              ˈuːtpreiht
útbreiðsla,           ˈuːtpreiðstla
útbreiðslu,            ˈuːtpreitstlʏ
útbreiðsluna,          ˈuːtpreiðstlʏna
útbyrðis,             ˈuːtpɪrðɪs
útbúa,                ˈuːtpua
útbúin,                ˈuːtpuɪn
útbúinn,               ˈuːtpuɪn
útbúið,                ˈuːtpuɪð
útbúnað,               ˈuːtpunað
útbúnaður,            ˈuːtpunaðʏr
útbúnir,               ˈuːtpunɪr
útbýtt,                ˈuːtpiht
útdautt,               ˈuːtœiht
útdeila,              ˈuːteila
útdeildi,              ˈuːteiltɪ
útdraganleg,           ˈuːtraɣanlɛɣ
útdrátturinn,          ˈuːtrauhtʏrɪn
úteftir,               ˈuːtɛftɪr
útey,                 ˈuːtei
útfarardegi,           ˈuːtfararteijɪ
útfjólublá,            ˈuːtfjoulʏplauː
útflutning,            ˈuːtflʏhtniŋk
útflutningi,           ˈuːtflʏhtniɲcɪ
útflutninginn,         ˈuːtflʏhtniɲcɪn
útflutnings,           ˈuːtflʏhtniŋs
útflutningsaukning,    ˈuːtflʏhtniŋsœihkniŋk
útflutningsfélagsins,  ˈuːtflʏhtniŋsfjɛːlaxsɪns
útflutningsmarkaðir,   ˈuːtflʏhtniŋsmar̥kaðɪr
útflutningsráð,        ˈuːtflʏhtniŋsrauːð
útflutningsráðs,       ˈuːtflʏhtniŋsrauðs
útflutningsstyrki,     ˈuːtflʏhtniŋstɪr̥cɪ
útflutningsverðmæti,   ˈuːtflʏhtniŋsvɛrðmaitɪ
útflutningur,         ˈuːtflʏhtniŋkʏr
útfluttra,             ˈuːtflʏhtra
útflytjendur,          ˈuːtflɪtjɛntʏr
útfrá,                ˈuːtfrau
útfylla,              ˈuːtfɪtla
útfyrir,               ˈuːtfɪrɪr
útfæra,               ˈuːtfaira
útfærsla,             ˈuːtfair̥stla
útfærslan,             ˈuːtfair̥stlan
útfærslu,              ˈuːtfair̥stlʏ
útfærslum,             ˈuːtfair̥stlʏm
útfærslur,             ˈuːtfair̥stlʏr
útfært,                ˈuːtfair̥t
útfærð,                ˈuːtfairð
útfærðar,              ˈuːtfairðar
útfærður,              ˈuːtfairðʏr
útför,                ˈuːtfœr
útförin,               ˈuːtfœrɪn
útförina,              ˈuːtfœrɪna
útgangi,               ˈuːtkauɲcɪ
útganginn,             ˈuːtkauɲcɪn
útganginum,            ˈuːtkauɲcɪnʏm
útgangspunktur,        ˈuːtkauŋkspuŋ̊tʏr
útgefanda,             ˈuːtcɛvanta
útgefandi,            ˈuːtcɛvantɪ
útgefenda,             ˈuːtcɛvɛnta
útgefendum,            ˈuːtcɛvɛntʏm
útgefendur,            ˈuːtcɛvɛntʏr
útgefin,               ˈuːtcɛvɪn
útgefinn,              ˈuːtcɛvɪn
útgefinna,             ˈuːtcɛvɪna
útgefið,               ˈuːtcɛvɪð
útgefnar,              ˈuːtcɛpnar
útgefnum,              ˈuːtcɛpnʏm
útgeislun,            ˈuːtceistlʏn
útgerð,               ˈuːtcɛrð
útgerða,               ˈuːtcɛrða
útgerðar,              ˈuːtcɛrðar
útgerðarflokki,        ˈuːtcɛrðar̥flɔhcɪ
útgerðarfyrirtæki,     ˈuːtcɛrðarfɪːrɪrtʰaiːcɪ
útgerðarfélag,         ˈuːtcɛrðarfjɛːlaɣ
útgerðarfélags,        ˈuːtcɛrðarfjɛːlaxs
útgerðarinnar,         ˈuːtcɛrðarɪnar
útgerðarmanna,         ˈuːtcɛrðarmana
útgerðarmanns,         ˈuːtcɛrðarmans
útgerðarmaður,        ˈuːtcɛrðarmaːðʏr
útgerðarmenn,          ˈuːtcɛrðarmɛn
útgerðarmönnum,        ˈuːtcɛrðarmœnʏm
útgerðarstjóra,        ˈuːtcɛrðar̥stjouːra
útgerðarstjóri,        ˈuːtcɛrðarstjouːrɪ
útgerðin,              ˈuːtcɛrðɪn
útgerðina,             ˈuːtcɛrðɪna
útgerðinni,            ˈuːtcɛrðɪnɪ
útgerðir,              ˈuːtcɛrðɪr
útgerðum,              ˈuːtcɛrðʏm
útgjalda,              ˈuːtcalta
útgjaldakerfi,         ˈuːtcaltacʰɛrvɪ
útgjöld,              ˈuːtcœlt
útgjöldin,             ˈuːtcœltɪn
útgjöldum,             ˈuːtcœltʏm
útgufun,              ˈuːtkʏvʏn
útgáfa,               ˈuːtkauva
útgáfan,               ˈuːtkauvan
útgáfu,                ˈuːtkauvʏ
útgáfudegi,          ˈuːtkauvʏteijɪ
útgáfufyrirtæki,     ˈuːtkauvʏfɪːrɪrtʰaiːcɪ
útgáfufyrirtækið,    ˈuːtkauvʏfɪːrɪrtʰaiːcɪð
útgáfuheiti,         ˈuːtkauvʏheiːtɪ
útgáfulistanum,       ˈuːtkauvʏlɪstanʏm
útgáfum,             ˈuːtkauvʏm
útgáfuna,            ˈuːtkauvʏna
útgáfunnar,          ˈuːtkauvʏnar
útgáfunni,           ˈuːtkauvʏnɪ
útgáfur,             ˈuːtkauvʏr
útgáfustarfsemi,     ˈuːtkauvʏstarsɛmɪ
útgáfustjóri,        ˈuːtkauvʏstjouːrɪ
útgáfutónleika,        ˈuːtkauvʏtʰounleika
útgöngubanni,          ˈuːtkœiŋkʏpanɪ
útgönguleyfi,          ˈuːtkœiŋkʏleiːvɪ
útgönguopið,           ˈuːtkœiŋkʏɔːpɪð
úthafinu,              ˈuːthavɪnʏ
úthafið,               ˈuːthavɪð
úthafskarfa,           ˈuːthafskʰarva
úthafskarfaveiðar,     ˈuːthafskʰarvaveiːðar
úthald,               ˈuːthalt
úthaldsstyrkur,        ˈuːthaltstɪr̥kʏr
útheimti,              ˈuːtheim̥tɪ
útheimtir,             ˈuːtheim̥tɪr
úthella,              ˈuːthɛtla
úthellt,               ˈuːtʰɛl̥t
úthluta,              ˈuːtl̥ʏta
úthlutað,              ˈuːtl̥ʏtað
úthlutaði,             ˈuːtl̥ʏtaðɪ
úthlutun,             ˈuːtl̥ʏtʏn
úthlutunar,            ˈuːtl̥ʏtʏnar
úthlutunarfjárhæð,     ˈuːtl̥ʏtʏnarfjauːrhaið
úthlutunarkvóta,       ˈuːtl̥ʏtʏnar̥kʰvouːta
úthlutunina,           ˈuːtl̥ʏtʏnɪna
úthlíð,                ˈuːtl̥ið
úthreinsun,            ˈuːtr̥einsʏn
úthverfabúum,          ˈutkʰvɛrvapuːʏm
úthverfi,             ˈuːtkʰvɛrvɪ
úthverfum,             ˈuːtkʰvɛrvʏm
úthúða,               ˈuːthuða
úthúðaði,              ˈuːthuðaðɪ
úthýst,                ˈuːthist
úti,                  ˈuːtɪ
útibú,                ˈuːtɪpuː
útibúa,                ˈuːtɪpuːa
útibúi,                ˈuːtɪpuːɪ
útibússtjóri,          ˈuːtɪpustjouːrɪ
útibúum,               ˈuːtɪpuːʏm
útidyrahurðina,        ˈuːtɪtɪrahʏrðɪna
útidyratröppunum,      ˈuːtɪtɪratʰrœhpɔnʏm
útidyratröppurnar,     ˈuːtɪtɪratrœhpʏrtnar
útidyrnar,             ˈuːtɪtɪrtnar
útidyrunum,            ˈuːtɪtɪːrɔnʏm
útigaur,               ˈuːtɪkœir
útihurðin,             ˈuːtɪhʏrðɪn
útihurðina,            ˈuːtɪhʏrðɪna
útihátíð,             ˈuːtɪhauːtʰið
útihátíðir,            ˈuːtɪhauːtʰiðɪr
útihátíðum,            ˈuːtɪhauːtʰiðʏm
útihúsi,               ˈuːtɪhuːsɪ
útikennsla,            ˈuːtɪcʰɛnstla
útikennslu,            ˈuːtɪcʰɛnstlʏ
útikerfi,              ˈuːtɪcʰɛrvɪ
útiklukku,             ˈuːtɪkʰlʏhkʏ
útilega,              ˈuːtɪlɛːɣa
útilegu,               ˈuːtɪlɛːɣʏ
útilegubátum,          ˈuːtɪlɛɣʏpauːtʏm
útilegugír,            ˈuːtɪlɛɣʏciːr
útilegur,              ˈuːtɪlɛːɣʏr
útiloka,              ˈuːtɪlɔːka
útilokar,              ˈuːtɪlɔːkar
útilokað,              ˈuːtɪlɔːkað
útilokaði,             ˈuːtɪlɔːkaðɪ
útilokunaraðferð,      ˈuːtɪlɔkʏnaraðfɛrð
útilátinn,             ˈuːtɪlauːtɪn
útilátið,              ˈuːtɪlauːtɪð
útilíf,                ˈuːtɪliːv
útisigur,              ˈuːtɪsɪːɣʏr
útiskreytingar,        ˈuːtɪskreiːtiŋkar
útistandandi,         ˈuːtɪstantantɪ
útistöðum,             ˈuːtɪstœːðʏm
útivelli,              ˈuːtɪvɛtlɪ
útiveru,               ˈuːtɪvɛːrʏ
útivinnandi,           ˈuːtɪvɪnantɪ
útivist,              ˈuːtɪvɪst
útivistar,             ˈuːtɪvɪstar
útivistareyjan,        ˈuːtɪvɪstareiːan
útivistarsvæði,       ˈuːtɪvɪstarsvaiːðɪ
útjaskaða,             ˈuːtjaskaða
útjaðar,              ˈuːtjaðar
útjaðri,               ˈuːtjaðrɪ
útkall,               ˈuːtkʰatl̥
útkeyrð,               ˈuːtcʰeirð
útkljá,               ˈuːtkʰljau
útkljáð,               ˈuːtkʰljauð
útkoma,               ˈuːtkʰɔma
útkoman,               ˈuːtkʰɔman
útkomu,                ˈuːtkʰɔmʏ
útkomuna,              ˈuːtkʰɔmʏna
útkrotuð,              ˈuːtkʰrɔtʏð
útlaga,               ˈuːtlaɣa
útlaganum,             ˈuːtlaɣanʏm
útlagar,               ˈuːtlaɣar
útlagi,               ˈuːtlaijɪ
útlagðs,               ˈuːtlaɣðs
útlanda,               ˈuːtlanta
útlandinu,             ˈuːtlantɪnʏ
útleggja,             ˈuːtlɛca
útleggst,              ˈuːtlɛkst
útlegð,               ˈuːtlɛɣð
útleigu,               ˈuːtleiɣʏ
útleið,               ˈuːtleið
útlend,                ˈuːtlɛnt
útlenda,              ˈuːtlɛnta
útlending,             ˈuːtlɛntiŋk
útlendinga,            ˈuːtlɛntiŋka
útlendingana,          ˈuːtlɛntiŋkana
útlendinganna,         ˈuːtlɛntiŋkana
útlendingar,           ˈuːtlɛntiŋkar
útlendingarnir,        ˈuːtlɛntiŋkartnɪr
útlendingi,            ˈuːtlɛntiɲcɪ
útlendingum,           ˈuːtlɛntiŋkʏm
útlendingunum,         ˈuːtlɛntiŋkɔnʏm
útlendingur,          ˈuːtlɛntiŋkʏr
útlendingurinn,        ˈuːtlɛntiŋkʏrɪn
útlendu,               ˈuːtlɛntʏ
útlendum,              ˈuːtlɛntʏm
útlenska,             ˈuːtlɛnska
útlensku,              ˈuːtlɛnskʏ
útlima,                ˈuːtlɪma
útlista,              ˈuːtlɪsta
útlistanir,            ˈuːtlɪstanɪr
útlistaði,             ˈuːtlɪstaðɪ
útlistun,             ˈuːtlɪstʏn
útlistunum,            ˈuːtlɪstʏnʏm
útlit,                ˈuːtlɪt
útliti,                ˈuːtlɪtɪ
útlitinu,              ˈuːtlɪtɪnʏ
útlitið,               ˈuːtlɪtɪð
útlits,                ˈuːtlɪts
útlitstillögur,        ˈuːtlɪtstɪlœɣʏr
útlitum,               ˈuːtlɪtʏm
útlán,                ˈuːtlaun
útlána,                ˈuːtlauna
útláns,                ˈuːtlauns
útlánum,               ˈuːtlaunʏm
útlínum,               ˈuːtlinʏm
útlínumynd,            ˈuːtlinʏmɪnt
útlínur,               ˈuːtlinʏr
útlítandi,             ˈuːtlitantɪ
útlönd,               ˈuːtlœnt
útlöndum,              ˈuːtlœntʏm
útnefnd,               ˈuːtnɛmt
útnefndur,             ˈuːtnɛmtʏr
útnefningu,            ˈuːtnɛpniŋkʏ
útnára,                ˈuːtnaura
útprentun,            ˈuːtpʰrɛn̥tʏn
útprentuninni,         ˈuːtpʰrɛn̥tʏnɪnɪ
útprentuðum,           ˈutpʰrɛn̥tʏðʏm
útreikning,            ˈuːtreihkniŋk
útreikninga,           ˈuːtreihkniŋka
útreikningar,          ˈuːtreihkniŋkar
útreikningi,           ˈuːtreihkniɲcɪ
útreikningum,          ˈuːtreihkniŋkʏm
útreikningunum,        ˈuːtreihkniŋkɔnʏm
útreikningur,         ˈuːtreihkniŋkʏr
útreið,               ˈuːtreið
útrunninn,            ˈuːtrʏnɪn
útrás,                ˈuːtraus
útrætt,                ˈuːtraiht
útrétta,              ˈuːtrjɛhta
útréttinga,            ˈuːtrjɛhtiŋka
útréttri,              ˈuːtrjɛhtrɪ
útrýma,               ˈuːtrima
útrýmingarhættu,       ˈuːtrimiŋkarhaihtʏ
útrýmingu,             ˈuːtrimiŋkʏ
útrýmt,                ˈuːtrim̥t
útsala,               ˈuːtsala
útsaum,                ˈuːtsœim
útsaumaðir,            ˈuːtsœimaðɪr
útsaumi,               ˈuːtsœimɪ
útsaumsgarn,           ˈuːtsœimskartn̥
útsaumuðum,            ˈuːtsœimʏðʏm
útselir,               ˈuːtsɛlɪr
útsendara,             ˈuːtsɛntara
útsendarar,            ˈuːtsɛntarar
útsendari,            ˈuːtsɛntarɪ
útsending,            ˈuːtsɛntiŋk
útsendingar,           ˈuːtsɛntiŋkar
útsendingartími,       ˈuːtsɛntiŋkartʰiːmɪ
útsendingu,            ˈuːtsɛntiŋkʏ
útsendingum,           ˈuːtsɛntiŋkʏm
útsetja,              ˈuːtsɛtja
útsetning,            ˈuːtsɛhtniŋk
útsetninga,            ˈuːtsɛhtniŋka
útsetningar,           ˈuːtsɛhtniŋkar
útsetningu,            ˈuːtsɛhtniŋkʏ
útsetningum,           ˈuːtsɛhtniŋkʏm
útsett,                ˈuːtsɛht
útsetti,               ˈuːtsɛhtɪ
útsjónarsamur,         ˈuːtsjounarsaːmʏr
útsjónarsemi,          ˈuːtsjounarsɛːmɪ
útskilnaðarleið,       ˈuːtscɪlnaðarleiːð
útskorin,              ˈuːtskɔrɪn
útskorinn,            ˈuːtskɔrɪn
útskorna,              ˈuːtskɔrtna
útskornar,             ˈuːtskɔrtnar
útskornir,             ˈuːtskɔrtnɪr
útskornu,              ˈuːtskɔrtnʏ
útskornum,             ˈuːtskɔrtnʏm
útskots,               ˈuːtskɔts
útskrifa,             ˈuːtskrɪva
útskrifast,            ˈuːtskrɪvast
útskrifaðir,           ˈuːtskrɪvaðɪr
útskrifaðist,          ˈuːtskrɪvaðɪst
útskrifaður,           ˈuːtskrɪvaðʏr
útskrift,             ˈuːtskrɪft
útskriftarafmæli,      ˈuːtskrɪftaramailɪ
útskrifuðust,          ˈuːtskrɪvʏðʏst
útskurðar,             ˈuːtskʏrðar
útskurður,            ˈuːtskʏrðʏr
útskálakirkju,         ˈuːtskaulacʰɪr̥cʏ
útskúfun,             ˈuːtskuvʏn
útskýra,              ˈuːtscira
útskýri,               ˈuːtscirɪ
útskýringar,           ˈuːtsciriŋkar
útskýringu,            ˈuːtsciriŋkʏ
útskýringum,           ˈuːtsciriŋkʏm
útskýrir,              ˈuːtscirɪr
útskýrt,               ˈuːtscir̥t
útskýrð,               ˈuːtscirð
útskýrði,              ˈuːtscirðɪ
útslagið,              ˈuːtstlaijɪð
útsmoginn,            ˈuːtsmɔijɪn
útsogskerfi,           ˈuːtsɔkscʰɛrvɪ
útspil,               ˈuːtspɪl
útstillingar,          ˈuːtstɪtliŋkar
útstirna,              ˈuːtstɪrtna
útstreymi,            ˈuːtstreimɪ
útstáelsi,            ˈutstauɛlsɪ
útstæð,                ˈuːtstaið
útsvar,               ˈuːtsvar
útsvari,               ˈuːtsvarɪ
útsvars,               ˈuːtsvar̥s
útséð,                ˈuːtsjɛð
útsölu,                ˈuːtsœlʏ
útsölum,               ˈuːtsœlʏm
útsýn,                ˈuːtsin
útsýnar,               ˈuːtsinar
útsýni,                ˈuːtsinɪ
útsýninu,              ˈuːtsinɪnʏ
útsýnis,               ˈuːtsinɪs
útsýnisins,            ˈuːtsinɪsɪns
útsýnið,               ˈuːtsinɪð
úttaugar,              ˈuːtœiɣar
úttekt,               ˈuːtɛxt
úttektar,              ˈuːtɛxtar
úttektina,             ˈuːtɛxtɪna
úttektinni,            ˈuːtɛxtɪnɪ
úttektir,              ˈuːtɛxtɪr
úttroðinn,            ˈuːtrɔðɪn
úttroðnum,             ˈuːtrɔðnʏm
útum,                 ˈuːtʏm
útundan,               ˈuːtʏntan
útundir,               ˈuːtʏntɪr
útvalda,               ˈuːtvalta
útvaldir,              ˈuːtvaltɪr
útvalin,               ˈuːtvalɪn
útvarp,               ˈuːtvar̥p
útvarpað,              ˈuːtvar̥pað
útvarpi,               ˈuːtvar̥pɪ
útvarpinu,             ˈuːtvar̥pɪnʏ
útvarpið,              ˈuːtvar̥pɪð
útvarps,               ˈuːtvar̥s
útvarpsdagbókin,       ˈuːtvar̥staɣpoucɪn
útvarpsfréttir,        ˈuːtvar̥sfrjɛhtɪr
útvarpsgeislunin,      ˈuːtvar̥sceistlʏnɪn
útvarpshausar,         ˈuːtvar̥shœisar
útvarpsins,            ˈuːtvar̥sɪns
útvarpsleikhúsið,      ˈuːtvar̥stleiːkhusɪð
útvarpslögum,          ˈuːtvar̥slœɣʏm
útvarpsmaður,          ˈuːtvar̥smaːðʏr
útvarpsráðs,           ˈuːtvar̥srauðs
útvarpssagan,          ˈuːtvar̥saːɣan
útvarpssendar,         ˈuːtvar̥sɛntar
útvarpsstjóra,         ˈuːtvar̥stjouːra
útvarpsstjóri,         ˈuːtvar̥stjouːrɪ
útvarpsstöð,           ˈuːtvar̥stœːð
útvarpsstöðva,         ˈuːtvar̥stœðva
útvarpsstöðvar,        ˈuːtvar̥stœðvar
útvarpsstöðvum,        ˈuːtvar̥stœðvʏm
útvarpstæki,          ˈuːtvar̥stʰaiːcɪ
útvarpstækinu,         ˈuːtvar̥stʰaiːcɪnʏ
útvarpstækið,          ˈuːtvar̥stʰaicɪð
útvarpsviðtali,        ˈuːtvar̥svɪðtʰalɪ
útvarpsþætti,          ˈuːtvar̥sθaihtɪ
útveg,                ˈuːtvɛɣ
útvega,               ˈuːtvɛɣa
útvegar,               ˈuːtvɛɣar
útvegað,               ˈuːtvɛɣað
útvegaði,              ˈuːtvɛɣaðɪ
útvegg,                ˈuːtvɛk
útveggi,               ˈuːtvɛcɪ
útvegsmanna,           ˈuːtvɛxsmana
útvegsmenn,            ˈuːtvɛxsmɛn
útvegun,              ˈuːtvɛɣʏn
útveguð,               ˈuːtvɛɣʏð
útvið,                ˈuːtvɪð
útvortis,             ˈuːtvɔr̥tɪs
útvíkka,              ˈuːtvihka
útvíkkun,             ˈuːtvihkʏn
útvöldu,               ˈuːtvœltʏ
útvöldum,              ˈuːtvœltʏm
útvörp,                ˈuːtvœr̥p
útá,                  ˈuːtau
útötuð,                ˈuːtœtʏð
útúr,                 ˈuːtur
útúrdúrum,             ˈuːturturʏm
útþenslu,              ˈuːtθɛnstlʏ
úða,                  ˈuːða
úði,                  ˈuːðɪ
ýfa,                  ˈiːva
ýfði,                 ˈivðɪ
ýjað,                 ˈiːjað
ýkir,                 ˈiːcɪr
ýkja,                 ˈiːca
ýkjur,                ˈiːcʏr
ýkt,                  ˈixt
ýktri,                ˈiːxtrɪ
ýktum,                ˈixtʏm
ýlfra,                ˈilvra
ýlfrandi,              ˈilvrantɪ
ýlfruðu,               ˈilvrʏðʏ
ými,                  ˈiːmɪ
ýmir,                 ˈiːmɪr
ýmis,                 ˈiːmɪs
ýmiskonar,            ˈiːmɪskʰɔːnar
ýmislegt,              ˈiːmɪstlɛxt
ýmiss,                ˈiːmɪs
ýmissa,                ˈiːmɪsa
ýmisskonar,            ˈiːmɪskʰɔnar
ýmist,                ˈiːmɪst
ýms,                  ˈims
ýmsa,                 ˈimsa
ýmsan,                ˈimsan
ýmsar,                ˈimsar
ýmsir,                ˈimsɪr
ýmsu,                 ˈimsʏ
ýmsum,                ˈimsʏm
ýr,                   ˈiːr
ýsa,                  ˈiːsa
ýsu,                  ˈiːsʏ
ýsur,                 ˈiːsʏr
ýta,                  ˈiːta
ýtarlega,              ˈiːtarlɛɣa
ýti,                  ˈiːtɪ
ýtir,                 ˈiːtɪr
ýtnari,                ˈihtnarɪ
ýtni,                 ˈihtnɪ
ýtrasta,               ˈiːtrasta
ýtrustu,               ˈiːtrʏstʏ
ýtt,                  ˈiht
ýtti,                 ˈihtɪ
ýttu,                 ˈihtʏ
ýttum,                ˈihtʏm
ýtum,                 ˈiːtʏm
ýturvaxin,             ˈiːtʏrvaksɪn
þagað,                ˈθaːɣað
þagga,                ˈθaka
þaggað,                ˈθakað
þagna,                ˈθakna
þagnar,                ˈθaknar
þagnargildi,          ˈθaknarcɪltɪ
þagnarinnar,           ˈθaknarɪnar
þagnarskyldan,         ˈθaknar̥scɪltan
þagnað,                ˈθaknað
þagnaði,               ˈθaknaðɪ
þagnaður,              ˈθaknaðʏr
þagði,                ˈθaɣðɪ
þak,                  ˈθaːk
þakbogar,              ˈθaːkpɔɣar
þakglugga,             ˈθaːklʏka
þakgluggann,           ˈθaːklʏkan
þaki,                 ˈθaːcɪ
þakin,                ˈθaːcɪn
þakinn,                ˈθaːcɪn
þakinu,                ˈθaːcɪnʏ
þakið,                ˈθaːcɪð
þakka,                ˈθahka
þakkar,                ˈθahkar
þakkarskuld,          ˈθahkarskʏlt
þakkað,                ˈθahkað
þakkaði,               ˈθahkaðɪ
þakkir,                ˈθahcɪr
þakklát,               ˈθahklaut
þakklátar,             ˈθahklautar
þakklátir,             ˈθahklautɪr
þakklátum,             ˈθahklautʏm
þakklátur,            ˈθahklautʏr
þakklæti,             ˈθahklaitɪ
